yr,blk,AJ01,J11,J13,J14,J15,J16,J17,J18,J19,J110,J111,J112,J113
24,J,128683,1,3511028,9,8403500.0,8452600.0,1378643171.0,0.0,0.0,310704.0,0.0,163.07,1370325922.0
24,J,128683,2,3995000,27,30.0,32.0,665635.0,0.0,0.0,0.0,0.0,20801.09,624033.0
24,J,128683,12,9995000,0,0.0,0.0,1379308806.0,0.0,0.0,310704.0,0.0,0.0,1370949955.0
24,J,128684,1,3511001,27,1210.0,1210.0,259571096.0,0.0,0.0,9508757.0,0.0,206663.09,250062339.0
24,J,128684,2,3995000,27,4.0,3.0,153000.0,0.0,0.0,0.0,0.0,51000.0,204000.0
24,J,128684,12,9995000,0,0.0,0.0,259724096.0,0.0,0.0,9508757.0,0.0,0.0,250266339.0
24,J,128685,1,3511028,9,1152850.0,1197890.0,519039589.0,0.0,0.0,9113386.0,0.0,425.69,490753260.0
24,J,128685,12,9995000,0,0.0,0.0,519039589.0,0.0,0.0,9113386.0,0.0,0.0,490753260.0
24,J,128686,1,3512003,9,20165453.0,20165453.0,2972034826.0,908.0,0.0,102903819.0,0.0,142.28,2869130099.0
24,J,128686,2,3511028,9,2196213.0,42830.0,13514225.0,0.0,0.0,5145190.0,0.0,195.4,429142738.0
24,J,128686,3,3423127,9,111850593.41,123710606.34,1030649611.0,0.0,0.0,36016336.0,0.0,8.04,899278771.0
24,J,128686,4,3413906,27,1527.0,2378.0,386593077.0,0.0,0.0,5145190.0,0.0,160407.02,244941515.0
24,J,128686,5,3511027,9,1478153.4,1407965.88,480038003.0,0.0,0.0,5145190.0,0.0,337.29,498566359.0
24,J,128686,6,3416041,27,9243.51,9370.0,2009718279.0,0.0,0.0,69460077.0,0.0,207071.31,1914065752.0
24,J,128686,7,3424077,9,27334.75,27020.84,345004524.0,0.0,0.0,16721873.0,0.0,12149.24,332096378.0
24,J,128686,11,9921100,0,0.0,0.0,20046980.0,0.0,0.0,16721873.0,0.0,0.0,3325107.0
24,J,128686,12,9995000,0,0.0,0.0,7257599525.0,908.0,0.0,257259548.0,0.0,0.0,7190546719.0
24,J,128687,1,3511059,27,7994.0,7994.0,2159753071.0,16245.0,0.0,25039803.0,0.0,267037.41,2134697023.0
24,J,128687,2,1730002,3,54397.59,54397.59,46406353.0,0.0,0.0,15839803.0,0.0,561.91,30566550.0
24,J,128687,3,3929000,27,221.0,221.0,5067366.0,0.0,0.0,0.0,0.0,22929.26,5067366.0
24,J,128687,11,9921100,0,0.0,0.0,6759521.0,0.0,0.0,0.0,0.0,0.0,6759521.0
24,J,128687,12,9995000,0,0.0,0.0,2217986311.0,16245.0,0.0,40879606.0,0.0,0.0,2177090460.0
24,J,128688,1,3452002,9,11329891.0,11339972.0,440559000.0,0.0,0.0,20980000.0,0.0,37.0,419206003.0
24,J,128688,12,9995000,0,0.0,0.0,440559000.0,0.0,0.0,20980000.0,0.0,0.0,419206003.0
24,J,128691,1,3423199,27,75270.71,75561.89,11841344000.0,0.0,0.0,94250000.0,0.0,155463.21,11701825815.0
24,J,128691,2,3929000,27,2231.0,2231.0,54488000.0,0.0,0.0,0.0,0.0,24423.13,54488000.0
24,J,128691,12,9995000,0,0.0,0.0,11895832000.0,0.0,0.0,94250000.0,0.0,0.0,11756313815.0
24,J,128693,1,3543001,9,4580728.71,4999933.5,2459081040.0,0.0,0.0,44076411.0,0.0,483.01,2212525634.0
24,J,128693,12,9995000,0,0.0,0.0,2459081040.0,0.0,0.0,44076411.0,0.0,0.0,2212525634.0
24,J,128694,1,3511021,9,119895226.16,119895226.16,18917098000.0,0.0,0.0,256605000.0,0.0,155.64,18660493000.0
24,J,128694,11,9921100,0,0.0,0.0,33457000.0,0.0,0.0,0.0,0.0,0.0,33457000.0
24,J,128694,12,9995000,0,0.0,0.0,18950555000.0,0.0,0.0,256605000.0,0.0,0.0,18693950000.0
24,J,128695,1,3414018,9,9172789.01,9179841.0,545481006.0,0.0,0.0,10292570.0,0.0,58.3,534777302.0
24,J,128695,2,3424068,9,1485951.0,1485951.0,42519150.0,0.0,0.0,912510.0,0.0,28.0,41606640.0
24,J,128695,3,3414039,9,205729.0,205729.0,18771524.0,0.0,0.0,275880.0,0.0,89.9,18495644.0
24,J,128695,4,3934001,27,11.2,11.2,380920.0,0.0,0.0,0.0,0.0,34007.42,380920.0
24,J,128695,12,9995000,0,0.0,0.0,607152600.0,0.0,0.0,11480960.0,0.0,0.0,595260506.0
24,J,128696,1,3423114,9,15271057.0,15269189.0,1632707626.0,0.0,0.0,202353573.0,0.0,93.68,1430529039.0
24,J,128696,2,3424053,9,3127668.63,3076187.62,730533242.0,0.0,0.0,33161509.0,0.0,226.7,709042478.0
24,J,128696,3,3424022,9,308537.72,308516.24,145368012.0,0.0,0.0,12539429.0,0.0,430.54,132837832.0
24,J,128696,12,9995000,0,0.0,0.0,2508608880.0,0.0,0.0,248054511.0,0.0,0.0,2272409349.0
24,J,128697,1,3511028,9,1632914.0,1579739.0,932364000.0,0.0,0.0,0.0,0.0,590.2,963747954.0
24,J,128697,12,9995000,0,0.0,0.0,932364000.0,0.0,0.0,0.0,0.0,0.0,963747954.0
24,J,128698,1,3424053,9,9332187.0,9343518.0,1291148013.0,128826.0,0.0,67863529.0,0.0,130.91,1221672322.0
24,J,128698,2,3422015,27,697.0,697.0,68297138.0,0.0,0.0,3589739.0,0.0,92837.01,64707399.0
24,J,128698,3,3424083,27,3421.0,3421.0,46494035.0,0.0,0.0,2443755.0,0.0,12876.43,44050280.0
24,J,128698,4,3423127,9,4474994.53,4474994.53,37974942.0,0.0,0.0,1995986.0,0.0,8.04,35978956.0
24,J,128698,11,9921100,0,0.0,0.0,3565000.0,0.0,0.0,0.0,0.0,0.0,3565000.0
24,J,128698,12,9995000,0,0.0,0.0,1447479128.0,128826.0,0.0,75893009.0,0.0,0.0,1369973957.0
24,J,128699,1,3541001,9,6649871.0,7038390.0,6109949727.0,0.0,0.0,127958042.0,0.0,849.91,5651785853.0
24,J,128699,2,3532302,27,24868.91,22067.68,7712804929.0,0.0,0.0,197517086.0,0.0,340556.27,8469262007.0
24,J,128699,11,9921100,0,0.0,0.0,35859075.0,0.0,0.0,0.0,0.0,0.0,35859075.0
24,J,128699,12,9995000,0,0.0,0.0,13858613731.0,0.0,0.0,325475128.0,0.0,0.0,14156906935.0
24,J,128700,1,3466205,27,3781.62,3781.62,1684628121.0,0.0,0.0,65503392.0,0.0,428156.38,1619124729.0
24,J,128700,2,3411056,9,10962.67,10962.67,238191410.0,0.0,0.0,9261596.0,0.0,20882.67,228929814.0
24,J,128700,3,3415003,9,111948.0,111948.0,19549497.0,0.0,0.0,760143.0,0.0,167.84,18789354.0
24,J,128700,4,3417023,9,193439.0,193439.0,93944484.0,0.0,0.0,3652843.0,0.0,466.77,90291641.0
24,J,128700,5,3411013,27,56.54,56.54,19364486.0,0.0,0.0,752949.0,0.0,329174.69,18611537.0
24,J,128700,12,9995000,0,0.0,0.0,2055677998.0,0.0,0.0,79930923.0,0.0,0.0,1975747075.0
24,J,128701,1,3423121,9,256885845.0,255071100.0,18601899192.0,0.0,0.0,598901568.0,0.0,70.58,18131082891.0
24,J,128701,11,9921100,0,0.0,0.0,31611656.0,0.0,0.0,0.0,0.0,0.0,31611656.0
24,J,128701,12,9995000,0,0.0,0.0,18633510848.0,0.0,0.0,598901568.0,0.0,0.0,18162694547.0
24,J,128703,1,3511001,27,7408.0,7160.0,2260000120.0,0.0,0.0,44856630.0,0.0,309377.58,2291869130.0
24,J,128703,12,9995000,0,0.0,0.0,2260000120.0,0.0,0.0,44856630.0,0.0,0.0,2291869130.0
24,J,128704,1,3415020,9,2378891.64,2507816.64,668461272.0,0.0,0.0,33492439.0,0.0,253.2,602325555.0
24,J,128704,2,3415013,9,27880.86,30361.17,14585534.0,0.0,0.0,731428.0,0.0,456.31,12722317.0
24,J,128704,11,9921100,0,0.0,0.0,10239772.0,0.0,0.0,606040.0,0.0,0.0,9633732.0
24,J,128704,12,9995000,0,0.0,0.0,693286578.0,0.0,0.0,34829907.0,0.0,0.0,624681604.0
24,J,128705,1,3549099,27,8928.0,9037.0,1232929338.0,0.0,0.0,52161293.0,0.0,130659.29,1166526182.0
24,J,128705,11,9921100,0,0.0,0.0,1028473.0,0.0,0.0,0.0,0.0,0.0,1028473.0
24,J,128705,12,9995000,0,0.0,0.0,1233957811.0,0.0,0.0,52161293.0,0.0,0.0,1167554655.0
24,J,128709,1,3525092,9,10206330.0,10288820.0,4268354819.0,0.0,0.0,93056640.0,0.0,405.81,4141822975.0
24,J,128709,2,3416002,9,28326.53,27882.87,337524647.0,0.0,0.0,7358552.0,0.0,11841.18,335419597.0
24,J,128709,6,3527099,9,707922.38,707922.38,2482164403.0,0.0,0.0,56638257.0,0.0,3426.26,2425526146.0
24,J,128709,7,3414001,9,83203310.0,81544400.0,6368026000.0,0.0,0.0,139916098.0,0.0,76.38,6354812334.0
24,J,128709,11,9921100,0,0.0,0.0,484782657.0,0.0,6305107.0,0.0,0.0,0.0,478477550.0
24,J,128709,12,9995000,0,0.0,0.0,13940852526.0,0.0,6305107.0,296969547.0,0.0,0.0,13736058602.0
24,J,128712,1,3423199,27,14324.0,14338.0,2550440727.0,466279330.0,0.0,10681067.0,0.0,144614.33,2071455729.0
